voter,compound_name,ens_name,sybil_name,category
0xE58585B22cC2aC4270a2b92c2D2d8C5dB5A3330E,,refri.eth,,
0x5d47E871F81F84D3154AEC772bCce14973112C69,,raditz.eth,,
0x90f07eDaB54C9e1982C60415E230C09C6fF8f054,,childsp.eth,,
0x276Adf94808668338ff61df00d63c2F8ce056206,,zfogg.eth,zfogg,
0xf6fDeE29e3A14610fdbE187e2d3442543cfA45B8,,mirshko.eth,mirshko,
0x174887275d4577864b4DABDabb614bC60d25E73c,,sexwoman.eth,,
0xFCFA4369EAa965AC4e36f1Dd9fd2852C6542b0F7,,9000001000009.eth,,
0x733FA7c96A784ACd338e2b74d434C4080ED99639,,lucasprater.eth,,
0x7Fe56cF033f7413e8cC7dc0E29C1DE2991F316E1,,dmcnic.eth,,
0xC9F63EBE7707E86d765E59E7393B887612EB662f,,juani.eth,,
0xE5cc93993F78102f02E3cD33ce50d15968D60388,,kavaskous.eth,,
0x852f242C0aa6bd137A74face54E4943A43D6F2B7,,shroom.eth,,
0x53Deea1808b6d2b8681241e3857B6C6ED1e7e103,,aquilae.eth,,
0x178E1867dD3C7a85Fa129165B2B73be9947F30Ec,,lodengreen.eth,,
0x686B4535FF6573cef3FF37419A4fc6Ac775Ec7ea,,penguinparty.eth,,
0x88FB3D509fC49B515BFEb04e23f53ba339563981,Robert Leshner,,rleshner,Compound founder
0xf6b8AAfE55d7c813b211706E14ade3fE38cBa2Ca,,ryne.umbra.eth,,
0x75099A939Ca72dA8216ac1ED16414BEf756AbcDb,,scytalecipher.eth,,
0x3D51847413663696741ccC5081c1E9744B01c3E7,,mjlogistic.eth,,
0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,Argent,,argentHQ,DeFi-app/company
0x607f7153E585fD3C215Be30E41fc9Ab1d545B864,,beury.eth,,
0x5e01D9928Ea32d1d3Ae2f3263b6Ec6c165Dc2D76,,mikeygee.eth,,
0x69e0aF70893f565A598636bAcA2aE332b8Dd3303,,mtcarmel1914.eth,,
0xf0a8C84B910CA994A9B4dbA1FB02aBc1e497C159,,louisdelta.argent.xyz,,
0x60A5dcB2fC804874883b797f37CbF1b0582ac2dD,,msolomon.eth,,
0x6199e5Fa5F627FFE703291418Df9683c3608aB8b,,kostafun.eth,,
0x60BB4B0bC48B54eFA1a3dbaD66e45888e458bfB0,,,Studiomrecords,
0x0360C3330cc7B66013Af2B202c6145c9e1966DCD,,itsmehiren.eth,,
0xED4A59031e82296ED0Ce0E3E1Bf0020A5570150d,,hirensoni.eth,,
0x08a7aD00DAc20aAAeB0612Ef3b96b737fE742d4F,,swirls.eth,,
0x83D20a4B84380E62956E38452533F86d298dbC24,,qwercus.eth,,
0x70a78cD1f4C010150797FE301Fc02fd03269fAeb,,madwell.eth,,
0xA1457afA30b8E396cDE5bAC320eD7c8E7b521BC8,,0xwaffles.eth,,
0x045B55B4dcB121aA3e16E34CF7279ECC5477D406,,wanheda.eth,,
0x38963E5e432b8E33D26f570e6829e16AA5Cf72FD,,bayramer.eth,,
0x0f1020Dd3bf19518CB836B6107403AB19d3C4EDf,,epick.eth,,
0xD46f7c5b3661Bb2E4A81Cd1eeEf7fa8AcFF43491,,zappa.eth,AndreasMetschke,
0xE7d67AA6174b755b5F5D41440F7917eE6a09E4AA,,apoaca.pcc.eth,,
0x066A2EDcC0b7278A2CF5Bf2a040b4a54a41A9550,,kuso.eth,,
0x2FAE7ca03363A8722Df266FCc1dF74F3957408a8,,0x2fa.eth,,
0x523E95f068DEcD2bC38B3B7e595A4e9D41A2E70a,,indospnet.eth,IndoSPNetwork,
0xC7C783FF2CBf76bA56448fD92d2fBd28Ac9CE2C3,,up2early.eth,,
0xEDD5a10D3D719883DEEfc7d04f23850cEf5B1351,,miniputt.eth,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,,a16z,investment
0x109Bb92503c567Ac52647d507849AA9429077bF9,,maxkonzelmann.eth,,
0x061716a85ABA5e37626e4A2c33596d59823d30b8,,shaahid.eth,,
0x311ddF76C51051C9a32653D692f7A78Fd6E48106,,psymen.eth,,
0xA32E9A93407C629D1a952bdAdc0D2f72887d0326,,wallet2.argent.xyz,,
0xE0CA00bDAe2768576C73AC0Ef2fa25D8bC68655A,,jamesondh.argent.xyz,,
0x7606537AA57C29A0f54249Bd7f236F82D782ee0A,,sirclyde.eth,,
0x458cEec48586a85fCFEb4A179706656eE321730E,Blockchain at Berkeley,,,university
0x2FD682bBE2D72EEb5Aef81F0F20DEDf5B622975b,,patrickprobst.eth,,
0xB0623C91c65621df716aB8aFE5f66656B21A9108,,johnpalmer.eth,john_c_palmer,UGP
0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,,blockchaincolumbia.eth,BlockchainatCU,university
0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,,kennethng.eth,nkennethk,UGP
0x6F1B12a415E035eEbDc8559130eA8bdb96ADd48c,,pratik.eth,,
0xEf191aeb45A0d6f393D4a592f94152836d5758f8,,mooncake.eth,unirose007,
0xE8D848debB3A3e12AA815b15900c8E020B863F31,,dennisonbertram.eth,,
0xC10898edA672fDFc4Ac0228bB1Da9b2bF54C768f,,0xc10.eth,,
0x2D977893f8F703675f68dB4F634eA199Be659BED,,makefile.eth,,
0xfCf9934346B4e9822276d6a37af700c81119792F,,ozisan.eth,,
0xD03Ad690ed8065EDfdC1E08197a3ebC71535A7ff,,daciv.eth,yuopu5,
0x9325564ADe7683706107685Cf1993678B1163261,,alvin617.eth,,
0xa946174c101C8631AA1967d2Db1477558f174649,,howardwang.eth,,
0x48f88A8D8e4a9dFF33C0A4D857a81A189C2d6e07,,goldenfiredo.eth,goldenfiredo,
0x45208c10E922D932c0A638e7d8e92307fC73B40b,,greatwallet.eth,,
0x9796b9443A3FFbc60eAB64F33E368CC19ebA4F33,,alicebob.eth,,
