,voter,ens_nondatabase_name,sybil_name,ens_database_name
152,0xd5b5459e3509BD48a1f37a6e1C482E60b70707B9,,,[]
153,0xe8301b6230b387A9298438E65952ECefb2D156b9,,,[]
154,0x80F5FC0bdb33aA0f6572E06CDC726095c15B6204,,,[]
155,0xa83c572C8072f3b11562F08B89d4F3077682acDB,,,"['teebow.eth', 'think-different.eth', 't12t.eth']"
156,0x9b80dF270e17c30C343Dac70E7347ADf02C9447D,,,[]
157,0xF6FE7616200e2f1561BE71A6030c34457a40c72E,,,[]
158,0x42ec791D92Ffda99A0411616bB602B3e3BD2bD35,,,[]
159,0x8014A798cA117e4c44047f5C6cc617bc54296284,,,[]
160,0xd43f3716CbB9386352880a9BD52f7F07aC01752B,c14.eth,,"['c14.eth', 'zero-fucks-given.eth']"
161,0xa0Bf5b240634918c70d4ec9384DbD0111Ef40B42,,,[]
162,0x43a37B93b5930A978f325C426d38233Bc464cb5A,,,[]
163,0x8893c97F2a19C8Dc8deD1487e7e1b991D2F8d2ce,,,[]
164,0x60c71825a5962aeb1752BEEb6ec1F55D67225aF2,,,[]
165,0x5472367E0bC0f3CCC8D63bE92aEFdEc51bf4f3ae,,,[]
166,0xaf7d21d40e688eb4eB791943E46D35a14EdCa471,,,[]
167,0x03f061F6357195DbB545820a6cd9a2eD2B087618,,,[]
168,0x49be5edd7c80A755A76768A6921bfE3Cb8c739b3,,,[]
169,0xa21f503F6f66E9Bbb2Ab16100208f20427A2b61E,,,[]
170,0x340CE28FA7FE0e208F31d4D00AAa188FCc881c6d,,,[]
171,0xED76187Ad1e4F974229AC9a5AeB2aAa427C5A987,,,[]
172,0x882E11F884E9d221706DB9A36bA4856292b26d87,,,[]
173,0x61617F93fd933Aab1a6121b10c40209E847C7866,,,[]
174,0xd6cB09384C7E2768F04fD043541aaDA441CF0b2d,,,[]
175,0x905d489Bc7EAD985D451983b44514c843eB576c5,enthef.eth,,['enthef.eth']
176,0x5396c1218738AEE74d1Bca512D72B618f97bc8C1,,,[]
177,0xcC15c915773CD78d08EF671C0cf71b4bBBEF8d33,,,[]
178,0x8A0F3AB2D1bc577f0a0147e9a57E0987aDaEaC66,,,[]
179,0xc893e1A9EAE0Da377084F4B8f96a39ab60640aAF,,,[]
180,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,monetsupply.eth,MonetSupply,"['cryptocriticscorner.eth', 'proxydao.eth', 'xyk.eth', 'uwblockchain.eth', 'riskmgmt.eth', 'pastaio.eth', 'theclearinghouse.eth', 'riskdao.eth', 'blockanalitica.eth', 'cryptocriticpod.eth', 'acats.eth', 'nacha.eth', 'hyphy.eth', 'monetsupply.eth', 'mrcarmack.eth', 'basepool.eth', 'pastadao.eth', 'nattywine.eth', 'caspiancey.eth', 'alwayshasbeen.eth', 'grindset.eth', 'proxyadvisor.eth', 'rektboi.eth']"
